id:ID	labels:label	type	flags:string[]	lineno:int	code	childnum:int	funcid:int	classname	namespace	endlineno:int	name	doccomment
0	Filesystem	Directory									demos/demo_FromDocToPDF/eopg_generated_files	
1	Filesystem	File									demos/demo_FromDocToPDF/eopg_generated_files/bg.js	
2	AST	AST_TOPLEVEL	TOPLEVEL_FILE	4					4::384:2	384	demos/demo_FromDocToPDF/eopg_generated_files/bg.js	
3	Artificial	CFG_FUNC_ENTRY					2				demos/demo_FromDocToPDF/eopg_generated_files/bg.js	
4	Artificial	CFG_FUNC_EXIT					2				demos/demo_FromDocToPDF/eopg_generated_files/bg.js	
5	AST	AST_STMT_LIST		4		0	2		4::384:2	384		
6	AST	AST_FUNC_DECL		4	"Port"	0	2		4::11:1	11		"original file:demos/bg_header.js\\nport"
7	Artificial	CFG_FUNC_ENTRY					6					
8	Artificial	CFG_FUNC_EXIT					6					
9	AST	string		4	"Port"	0	6		4:9:4:13	4		
10	AST	NULL		4		1	6		4::4:			
11	AST	AST_PARAM_LIST		4	"info"	2	6		4::11:1	11		
12	AST	AST_PARAM		4	"info"	0	6		4::4:			
13	AST	NULL		4	"any"	0	6		4::4:			
14	AST	string		4	"info"	1	6		4:14:4:18	4		
15	AST	NULL		4	"any"	2	6		4::4:			
16	AST	AST_STMT_LIST		4		3	6		4:19:11:1	11		
17	AST	AST_IF		5		0	6		5:4:7:5	7		
18	AST	AST_IF_ELEM		5		0	6		5:4:7:5	7		
19	AST	AST_PROP		5	"info.includeTlsChannelId"	0	6		5:8:5:32	5		
20	AST	AST_VAR		5		0	6		5:8:5:12	5		
21	AST	string		5	"info"	0	6		5:8:5:12	5	info	
22	AST	string		5	"includeTlsChannelId"	1	6		5:13:5:32	5		
23	AST	AST_STMT_LIST		5		1	6		5:33:7:5	7		
24	AST	AST_ASSIGN		6	"this.includeTlsChannelId = info.includeTlsChannelId"	0	6		6:8:6:59	6		
25	AST	AST_PROP		6	"this.includeTlsChannelId"	0	6		6:8:6:32	6		
26	AST	AST_VAR		6		0	6		6:8:6:12	6		
27	AST	string		6	"this"	0	6		6:8:6:12	6	this	
