id:ID	labels:label	type	flags:string[]	lineno:int	code	childnum:int	funcid:int	classname	namespace	endlineno:int	name	doccomment	export	tainted
0	Filesystem	Directory									demos/test/opgen_generated_files		True	
1	Filesystem	File									demos/test/opgen_generated_files/bg.js		True	
2	AST	AST_TOPLEVEL	TOPLEVEL_FILE	70					70::70:	70	demos/test/opgen_generated_files/bg.js		True	
3	Artificial	CFG_FUNC_ENTRY					2				demos/test/opgen_generated_files/bg.js		True	
4	Artificial	CFG_FUNC_EXIT					2				demos/test/opgen_generated_files/bg.js		True	
5	AST	AST_STMT_LIST		70		0	2		70::70:	70			True	
6	Filesystem	File									demos/test/opgen_generated_files/cs_0.js		True	
7	AST	AST_TOPLEVEL	TOPLEVEL_FILE	65					65::76:3	76	demos/test/opgen_generated_files/cs_0.js		True	
8	Artificial	CFG_FUNC_ENTRY					7				demos/test/opgen_generated_files/cs_0.js		True	
9	Artificial	CFG_FUNC_EXIT					7				demos/test/opgen_generated_files/cs_0.js		True	
10	AST	AST_STMT_LIST		65		0	7		65::76:3	76			True	
11	AST	AST_ASSIGN		65	options = 3	0	7		65:4:65:15	65		"original file:crx_headers_easy/jquery_header.js\noriginal file:crx_headers_easy/cs_header.js\noriginal file:/Users/jia/Desktop/tmp/EOPG/run_JSCPG_merge/demos/test/test_content.js\nfunction openEngine(selectionText, newPos = false) {\nchrome.runtime.sendMessage({type: 'getToken'}, function(response) {\nconsole.log('' + JSON.stringify(response));\nif(response && response.token){\nlet queryStr = encodeURIComponent(selectionText);\ndebug_sink(\"search\")\nchrome.runtime.sendMessage({type: 'search',wd:queryStr}, function(res) {\nconsole.log(res)\n});\n}\n});\n}\nwindow.addEventListener(\"message\", function(event) {\nconsole.log(event)\nif(event.data.type === 'search') {\nif(self == top)\n{\nopenEngine(event.data.wd,false)\n}\n}\n}, false);\n// window.addEventListener(\"message\", function(event) {\n//     console.log(event)\n//     if(event.datajianjia.typejianjia === 'search') {\n//         var tmp_body = 'token='+'&wd='+event.datajianjia.wd\n//         if(self == top)\n//         {\n//             fetch(options.api_host+'/api/searchApi',{\n//     "	True	
12	AST	AST_VAR	JS_DECL_LET	65		0	7		65:4:65:11	65			True	
13	AST	string		65	options	0	7		65:4:65:11	65	options		True	
14	AST	integer		65	3	1	7		65:14:65:15	65			True	
15	AST	AST_ASSIGN		67	test_function = function(extensionId, msg){    debug_sink(\"extensionId\", arguments[1]);    debug_sink(\"msg\", msg);    debug_sink(\"options\", arguments[2]);    debug_sink(\"rspCallback\", arguments[3]);}	1	7		67::72:1	72			True	
16	AST	AST_VAR		67		0	7		67::67:13	67			True	
17	AST	string		67	test_function	0	7		67::67:13	67	test_function		True	
18	AST	AST_CLOSURE		67		1	7		67:16:72:1	72			True	
19	Artificial	CFG_FUNC_ENTRY					18						True	
20	Artificial	CFG_FUNC_EXIT					18						True	
21	AST	string		67	{anon}	0	18		67::67:				True	
22	AST	NULL		67		1	18		67::67:				True	
23	AST	AST_PARAM_LIST		67	extensionId, msg	2	18		67:16:72:1	72			True	
24	AST	AST_PARAM		67	extensionId	0	18		67::67:				True	
25	AST	NULL		67	any	0	18		67::67:				True	
26	AST	string		67	extensionId	1	18		67:25:67:36	67			True	
27	AST	NULL		67	any	2	18		67::67:				True	
28	AST	AST_PARAM		67	msg	1	18		67::67:				True	
29	AST	NULL		67	any	0	18		67::67:				True	
30	AST	string		67	msg	1	18		67:38:67:41	67			True	
31	AST	NULL		67	any	2	18		67::67:				True	
32	AST	NULL		67		3	18		67::67:				True	
33	AST	AST_STMT_LIST		67		4	18		67:42:72:1	72			True	
34	AST	AST_CALL		68	debug_sink(\"extensionId\", arguments[1])	0	18		68:4:68:43	68			True	
