id:ID	labels:label	type	flags:string[]	lineno:int	code	childnum:int	funcid:int	classname	namespace	endlineno:int	name	doccomment	export	tainted
0	Filesystem	File									test.js		True	
1	AST	AST_TOPLEVEL	TOPLEVEL_FILE	1					1::51:15	51	test.js		True	
2	Artificial	CFG_FUNC_ENTRY					1				test.js		True	
3	Artificial	CFG_FUNC_EXIT					1				test.js		True	
4	AST	AST_STMT_LIST		1		0	1		1::51:15	51			True	
5	AST	AST_ASSIGN		1	x = 1	0	1		1:4:1:9	1			True	
6	AST	AST_VAR	JS_DECL_VAR	1		0	1		1:4:1:5	1			True	
7	AST	string		1	x	0	1		1:4:1:5	1	x		True	
8	AST	integer		1	1	1	1		1:8:1:9	1			True	
9	AST	AST_ASSIGN		2	y_test_string = 'test_string'	1	1		2:4:2:33	2			True	
10	AST	AST_VAR	JS_DECL_VAR	2		0	1		2:4:2:17	2			True	
11	AST	string		2	y_test_string	0	1		2:4:2:17	2	y_test_string		True	
12	AST	string		2	test_string	1	1		2:20:2:33	2			True	
13	AST	AST_ASSIGN		3	z = -3	2	1		3:4:3:10	3			True	
14	AST	AST_VAR	JS_DECL_VAR	3		0	1		3:4:3:5	3			True	
15	AST	string		3	z	0	1		3:4:3:5	3	z		True	
16	AST	AST_UNARY_OP	UNARY_MINUS	3	-3	1	1		3:8:3:10	3			True	
17	AST	integer		3	3	0	1		3:9:3:10	3			True	
18	AST	AST_CALL		37	debug_sink('in out')	3	1		37::37:20	37		"debug_sink('in out');\nif (x>z){\ndebug_sink('in 1 if');\ny_test_string += '1';\nz += 1;\nif(x>z+2){\ndebug_sink('in val if');\ny_test_string += '2';\n}\nelse{\ndebug_sink('in val else');\ny_test_string +='3';\n}\n}\nelse{\ny_test_string += '4';\nz += -1;\n}\nconsole.log(x);\nconsole.log(y_test_string);\nconsole.log(z);\nswitch(c){\ncase 1:\ny=5;\nbreak;\ncase 2:\ny=6;\nbreak;\ndefault:\ny=7;\n}"	True	
19	AST	AST_NAME	NAME_NOT_FQ	37		0	1		37::37:20	37			True	
20	AST	string		37	debug_sink	0	1		37::37:10	37			True	
21	AST	AST_ARG_LIST		37	('in out')	1	1		37::37:20	37			True	
22	AST	string		37	in out	0	1		37:11:37:19	37			True	
23	AST	AST_IF		38		4	1		38::47:1	47			True	
24	AST	AST_IF_ELEM		38		0	1		38::47:1	47			True	
25	AST	AST_BINARY_OP		38	x>z	0	1		38:4:38:7	38			True	
26	AST	AST_VAR		38		0	1		38:4:38:5	38			True	
27	AST	string		38	x	0	1		38:4:38:5	38	x		True	
28	AST	AST_VAR		38		1	1		38:6:38:7	38			True	
29	AST	string		38	z	0	1		38:6:38:7	38	z		True	
30	AST	AST_STMT_LIST		38		1	1		38:8:42:1	42			True	
31	AST	AST_CALL		39	debug_sink('in if')	0	1		39:4:39:23	39			True	
32	AST	AST_NAME	NAME_NOT_FQ	39		0	1		39:4:39:23	39			True	
33	AST	string		39	debug_sink	0	1		39:4:39:14	39			True	
34	AST	AST_ARG_LIST		39	('in if')	1	1		39:4:39:23	39			True	
35	AST	string		39	in if	0	1		39:15:39:22	39			True	
36	AST	AST_ASSIGN_OP	BINARY_ADD	40	y_test_string += '8'	1	1		40:4:40:24	40			True	
37	AST	AST_VAR		40		0	1		40:4:40:17	40			True	
38	AST	string		40	y_test_string	0	1		40:4:40:17	40	y_test_string		True	
39	AST	string		40	8	1	1		40:21:40:24	40			True	
40	AST	AST_ASSIGN		41	z = z+1	2	1		41:4:41:11	41			True	
41	AST	AST_VAR		41		0	1		41:4:41:5	41			True	
42	AST	string		41	z	0	1		41:4:41:5	41	z		True	
43	AST	AST_BINARY_OP	BINARY_ADD	41	z+1	1	1		41:8:41:11	41			True	
44	AST	AST_VAR		41		0	1		41:8:41:9	41			True	
45	AST	string		41	z	0	1		41:8:41:9	41	z		True	
46	AST	integer		41	1	1	1		41:10:41:11	41			True	
47	AST	AST_IF_ELEM		38		1	1		38::47:1	47			True	
48	AST	NULL		38		0	1		38::38:				True	
49	AST	AST_STMT_LIST		43		1	1		43:4:47:1	47			True	
50	AST	AST_CALL		44	debug_sink('in else')	0	1		44:4:44:25	44			True	
51	AST	AST_NAME	NAME_NOT_FQ	44		0	1		44:4:44:25	44			True	
52	AST	string		44	debug_sink	0	1		44:4:44:14	44			True	
53	AST	AST_ARG_LIST		44	('in else')	1	1		44:4:44:25	44			True	
54	AST	string		44	in else	0	1		44:15:44:24	44			True	
55	AST	AST_ASSIGN_OP	BINARY_ADD	45	y_test_string += '9'	1	1		45:4:45:24	45			True	
56	AST	AST_VAR		45		0	1		45:4:45:17	45			True	
57	AST	string		45	y_test_string	0	1		45:4:45:17	45	y_test_string		True	
58	AST	string		45	9	1	1		45:21:45:24	45			True	
59	AST	AST_ASSIGN		46	z = z-1	2	1		46:4:46:11	46			True	
60	AST	AST_VAR		46		0	1		46:4:46:5	46			True	
61	AST	string		46	z	0	1		46:4:46:5	46	z		True	
62	AST	AST_BINARY_OP	BINARY_SUB	46	z-1	1	1		46:8:46:11	46			True	
